Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?, WZ Level Crossing   , WZ IRJ , WZ Turnout , WZ Bridge , Asset Warning Zone? ,GBFI Max Avg,GBFI Avg of Avg,# Reasonably Fouled,# Fouled,# Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1 (Count),DTF S2 (Count),DTF S3 (Count),DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-EML-S-03671-E-03672-MAINLINE,367.100000000015,367.200000000015,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,11.6,10.038095238095236,0,0,0,No,0.2245000000000001,Yes,No,0.0,No,0,0,0,0,2,31.086,0.6217199999999999,,Critical,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03672-E-03673-MAINLINE,367.200000000015,367.300000000015,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.7,10.923809523809524,0,0,0,No,0.22550000000000026,Yes,No,0.0,No,0,0,0,0,2,31.086,0.6217199999999999,,Critical,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03673-E-03674-MAINLINE,367.300000000015,367.40000000001504,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,14.5,11.942857142857141,0,0,0,No,0.23460000000000025,Yes,No,0.0,No,0,0,0,0,2,21.165,0.4233,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03674-E-03675-MAINLINE,367.40000000001504,367.50000000001506,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.9,11.1,0,0,0,No,0.21659999999999946,Yes,No,0.0,No,0,0,0,0,2,21.165,0.4233,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03675-E-03676-MAINLINE,367.50000000001506,367.6000000000151,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.5,10.657142857142857,0,0,0,No,0.23789999999999994,Yes,No,0.0,No,0,0,0,0,2,22.74,0.4548,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03676-E-03677-MAINLINE,367.6000000000151,367.7000000000151,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.1,10.561904761904762,0,0,0,No,0.23189999999999994,Yes,No,0.0,No,0,0,0,0,2,26.2755,0.52551,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03677-E-03678-MAINLINE,367.7000000000151,367.80000000001513,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.4,11.180952380952382,0,0,0,No,0.2062000000000001,Yes,No,0.0,No,0,0,0,0,2,26.2755,0.52551,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03678-E-03679-MAINLINE,367.80000000001513,367.90000000001515,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.5,11.271428571428572,0,0,0,No,0.2001999999999997,Yes,No,0.0,No,0,0,0,0,2,21.513,0.43026000000000003,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03679-E-03680-MAINLINE,367.90000000001515,368.0000000000152,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.2,10.100000000000003,0,0,0,No,0.18909999999999982,Yes,No,0.0,No,0,0,0,0,2,21.2445,0.42489,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03680-E-03681-MAINLINE,368.0000000000152,368.1000000000152,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,9.9,5.628571428571427,0,0,0,No,0.13699999999999984,Yes,No,0.0,No,0,0,0,0,2,22.284,0.44567999999999997,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03681-E-03682-MAINLINE,368.1000000000152,368.2000000000152,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.2,10.480952380952381,0,0,0,No,0.20060000000000006,Yes,No,0.0,No,0,0,0,0,2,24.7005,0.49401000000000006,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03682-E-03683-MAINLINE,368.2000000000152,368.30000000001525,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,14.7,11.80952380952381,0,0,0,No,0.19179999999999953,Yes,No,0.0,No,0,0,0,0,2,24.7005,0.49401000000000006,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03683-E-03684-MAINLINE,368.30000000001525,368.40000000001527,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,13.5,11.142857142857142,0,0,0,No,0.2165999999999999,Yes,No,0.0,No,0,0,0,0,2,24.216,0.48432000000000003,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03684-E-03685-MAINLINE,368.40000000001527,368.5000000000153,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,14.1,11.895238095238097,0,0,0,No,0.19259999999999983,Yes,No,0.0,No,0,0,0,0,2,29.5185,0.59037,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
CHAIN-EML-S-03685-E-03686-MAINLINE,368.5000000000153,368.6000000000153,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,11.9,10.866666666666665,0,0,0,No,0.22019999999999984,Yes,No,0.0,No,0,0,0,0,2,29.5185,0.59037,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
