ID,Division,Subdivision,Line Code,Start Location,End Location,Segment ID,Segment Type,Segment Length,Degree of Curve,Curve Direction,Radius of Curve,Curve Elevation,TQI Geometry,Run ID TQI Geometry,L Rail Weight,R Rail Weight,L Low/High Rail,R Low/High Rail,Start Major,Start Minor,End Major,End Minor,Start Latitude,Start Longitude,End Latitude,End Longitude,Asset Name,Report Type
8019,Mainline2,CBM,UNKNOWN,254.64,254.732,47700,TANGENT,91.529337,,,,,73.0290,2024082305,,,,,254,640.454,254,731.983,-22.32108100,119.41149900,-22.32083400,119.41237800,CBM_254.006_254.733,Track Quality Indicator Summary Report
1594,Soloman,Nunna-2,UNKNOWN,174.442,174.539,41434,TANGENT,97.315498,,,,,73.7700,2024112103,,,,,174,441.764,174,539.08,-21.82420100,118.93249500,-21.82491500,118.93304400,SLX_174.652_174.857,Track Quality Indicator Summary Report
651,Mainline1,Thomas,UNKNOWN,5.826,5.899,39993,TANGENT,73.170857,,,,,77.7210,2024072704,,,,,5,826.266,5,899.437,-20.41349200,118.56278800,-20.41407200,118.56312500,MLX_5.825_5.971,Track Quality Indicator Summary Report
7960,Mainline2,CBM,UNKNOWN,254.732,254.83,47585,TANGENT,97.983544,,,,,77.7975,2024082305,,,,,254,731.983,254,829.966,-22.32083400,119.41237800,-22.32056700,119.41331800,CBM_254.733_254.824,Track Quality Indicator Summary Report
584,Mainline1,Thomas,UNKNOWN,20.202,20.282,39919,TANGENT,79.3101,,,,,80.1915,2024111802,,,,,20,202.347,20,281.657,-20.53882500,118.58597800,-20.53954100,118.58595000,TYX_20.203_20.443,Track Quality Indicator Summary Report
1153,Mainline1,Thomas,UNKNOWN,2.694,2.792,40990,TANGENT,98.8566,,,,,80.7495,2024112103,,,,,2,693.549,2,792.406,-20.38733800,118.56142100,-20.38795800,118.56208500,PL1_-3.411_4.054,Track Quality Indicator Summary Report
842,Mainline1,Thomas,UNKNOWN,19.867,19.963,40280,TANGENT,95.466491,,,,,81.2190,2024111602,,,,,19,867.483,19,962.949,-20.53580500,118.58616100,-20.53666600,118.58612800,RWYR2_19.388_20.443,Track Quality Indicator Summary Report
726,Mainline1,Thomas,UNKNOWN,5.899,5.973,40091,TANGENT,73.170857,,,,,81.7365,2024072704,,,,,5,899.437,5,972.608,-20.41407200,118.56312500,-20.41465300,118.56346100,MLX_5.825_5.971,Track Quality Indicator Summary Report
2953,Soloman,Firetail,UNKNOWN,295.918,296.018,42820,TANGENT,99.814013,,,,,81.8055,2024110810,,,,,295,917.805,296,17.594,-22.14525700,117.97637100,-22.14444100,117.97678000,SML_291.925_301.408,Track Quality Indicator Summary Report
725,Mainline1,Thomas,UNKNOWN,4.373,4.446,40089,TANGENT,73.200827,,,,,89.1045,2024112001,,,,,4,373.289,4,446.49,-20.40114900,118.56201500,-20.40172800,118.56167600,MLX_4.301_4.446,Track Quality Indicator Summary Report
860,Mainline1,Thomas,UNKNOWN,20.955,21.041,40315,TANGENT,85.793356,,,,,89.7225,2024111805,,,,,20,955.037,21,40.826,-20.54559000,118.58483600,-20.54636400,118.58478700,RSYR1_20.443_21.041,Track Quality Indicator Summary Report
6274,Mainline1,Forrest-II,UNKNOWN,125.765,125.836,45840,TANGENT,70.408083,,,,,91.8915,2024111802,,,,,125,765.436,125,835.844,-21.41974500,118.87285900,-21.42035600,118.87304800,MLX_125.765_125.906,Track Quality Indicator Summary Report
776,Mainline1,Thomas,UNKNOWN,20.698,20.783,40177,TANGENT,85.793356,,,,,97.0125,2024111805,,,,,20,697.657,20,783.45,-20.54328300,118.58539200,-20.54404800,118.58509800,RSYR1_20.443_21.041,Track Quality Indicator Summary Report
6693,Mainline2,Nunna,MLE_164.295_171,183.364,183.461,46615,TANGENT,97.085845,,,,,98.3400,2024112005,,,,,183,363.844,183,460.93,-21.89383500,118.96473200,-21.89437300,118.96547400,PTE_183.267_184.723,Track Quality Indicator Summary Report
769,Mainline1,Thomas,UNKNOWN,11.415,11.484,40153,TANGENT,68.605587,,,,,99.9795,2024112005,,,,,11,415.458,11,484.064,-20.46010200,118.58292500,-20.46070000,118.58310100,MLX_11.278_11.484,Track Quality Indicator Summary Report
