Name,Latitude (Decimal degree),Longitude (Decimal degree),Track,Approx Track location    (km +50m),IRV Channel which measured location,Track Features,Units of data,Recent Hit Rate %,Severity,Recent Max,Recent Average,Getting Worse?,Days S1
3.274,-21.22966667,118.78577778,MAINLINE,102.761,SF Accel East,,g,0.65,3,12.6,9.9,No,No Trend
3.275,-21.23008333,118.78594444,MAINLINE,102.811,SF Accel West,,g,0.1,3,13.2,7.1,No,No Trend
3.276,-21.23008333,118.78594444,MAINLINE,102.811,SF Accel East,,g,0.05,3,10.4,7.3,No,No Trend
3.277,-21.23091667,118.78633333,MAINLINE,102.911,SF Accel West,,g,0.05,3,10.1,5.5,No,No Trend
3.278,-21.23141667,118.78650000,MAINLINE,102.969,SF Accel West,,g,0.35,3,11.7,7.6,No,No Trend
3.279,-21.23141667,118.78650000,MAINLINE,102.969,SF Accel East,,g,0.22,3,12.4,7,No,No Trend
3.28,-21.23183333,118.78672222,MAINLINE,103.019,SF Accel West,,g,0.26,3,12.5,6,No,No Trend
3.281,-21.23183333,118.78672222,MAINLINE,103.019,SF Accel East,,g,0.43,3,12.7,7.1,No,No Trend
3.282,-21.24013889,118.79141667,MAINLINE,104.061,SF Accel West,IRJ,g,0.9,3,17.7,12.8,No,No Trend
3.283,-21.24013889,118.79141667,MAINLINE,104.061,SF Accel East,IRJ,g,0.9,3,21.3,14.2,No,No Trend
3.284,-21.24052778,118.79163889,MAINLINE,104.111,SF Accel West,IRJ,g,0.15,3,24.2,5.2,No,No Trend
3.285,-21.24052778,118.79163889,MAINLINE,104.111,SF Accel East,IRJ,g,0.1,3,24.2,4.5,No,No Trend
3.286,-21.24450000,118.79394444,MAINLINE,104.611,SF Accel West,,g,0.1,3,10.9,6,No,No Trend
3.287,-21.25600000,118.79952778,MAINLINE,106.011,SF Accel West,,g,0.3,3,10.8,8.7,No,No Trend
3.288,-21.25600000,118.79952778,MAINLINE,106.011,SF Accel East,,g,0.1,3,10.2,7.6,No,No Trend
3.289,-21.26600000,118.80525000,MAINLINE,107.269,SF Accel West,,g,0.04,3,15.9,3.9,No,No Trend
3.29,-21.26641667,118.80544444,MAINLINE,107.319,SF Accel West,,g,0.09,3,14.5,6,No,No Trend
3.291,-21.26641667,118.80544444,MAINLINE,107.319,SF Accel East,,g,0.09,3,13.9,6,No,No Trend
3.292,-21.26797222,118.80627778,MAINLINE,107.511,SF Accel West,Crossing,g,0.4,3,12.7,8.5,No,No Trend
3.293,-21.26797222,118.80627778,MAINLINE,107.511,SF Accel East,Crossing,g,0.85,3,15.8,11.9,No,No Trend
3.294,-21.26805556,118.80625000,MAINLINE,107.519,SF Accel West,"IRJ, POS",g,0.22,3,16.1,8.2,No,No Trend
3.295,-21.26805556,118.80625000,MAINLINE,107.519,SF Accel East,"IRJ, POS",g,0.17,3,15.7,6.8,No,No Trend
3.296,-21.26836111,118.80650000,MAINLINE,107.561,SF Accel West,IRJ,g,0.35,3,23,6.8,No,No Trend
3.297,-21.26836111,118.80650000,MAINLINE,107.561,SF Accel East,IRJ,g,0.15,3,18.2,4.1,No,No Trend
3.298,-21.26847222,118.80644444,MAINLINE,107.569,SF Accel West,"IRJ, POS",g,0.83,3,16.4,12.4,No,No Trend
3.299,-21.26847222,118.80644444,MAINLINE,107.569,SF Accel East,"IRJ, POS",g,0.96,3,18.2,13.1,No,No Trend
3.3,-21.26888889,118.80663889,MAINLINE,107.619,SF Accel West,"POS, IRJ",g,0.96,3,19.4,15,No,No Trend
3.301,-21.26888889,118.80663889,MAINLINE,107.619,SF Accel East,"POS, IRJ",g,1,3,19.4,15.2,No,No Trend
3.302,-21.26919444,118.80688889,MAINLINE,107.661,SF Accel West,POS,g,0.25,3,18.2,8.8,No,No Trend
3.303,-21.26919444,118.80688889,MAINLINE,107.661,SF Accel East,POS,g,0.15,3,18.4,6.5,No,No Trend
3.304,-21.26930556,118.80686111,MAINLINE,107.669,SF Accel West,POS,g,0.22,3,18.2,5.8,No,No Trend
3.305,-21.26961111,118.80708333,MAINLINE,107.711,SF Accel West,"POS, IRJ",g,0.7,3,21.6,13.7,No,No Trend
3.306,-21.26961111,118.80708333,MAINLINE,107.711,SF Accel East,"POS, IRJ",g,0.8,3,18.2,13.4,No,No Trend
